9	1048	8985	0.36377549171447754	4->2->6->7->8->1->5->0->3
10	14338	44445	3.0211374759674072	4->3->1->7->8->6->9->5->2->0
11	51532	154217	21.773566246032715	10->6->9->5->2->7->8->4->1->0->3
12	479892	981109	92.68480014801025	3->5->6->9->10->4->7->8->1->2->11->0
13	309280	978911	85.33333539962769	4->3->1->8->7->10->6->5->9->2->11->12->0
14	45171006	52206999	7343.417104482651	10->9->6->8->7->5->2->1->4->13->12->11->0->3
15	78688031	54086870	16592.58409667015	14->12->13->11->0->3->1->4->2->7->8->6->5->9->10
9	1048	8985	3100	0.36800384521484375	4->2->6->7->8->1->5->0->3
10	14338	44445	5500	3.2653751373291016	4->3->1->7->8->6->9->5->2->0
11	51532	154217	5400	21.60794949531555	10->6->9->5->2->7->8->4->1->0->3
9	1048	8985	3100	0.37741827964782715	4->2->6->7->8->1->5->0->3
10	14338	44445	5500	3.2216227054595947	4->3->1->7->8->6->9->5->2->0
11	51532	154217	5400	21.224623203277588	10->6->9->5->2->7->8->4->1->0->3
12	479892	981109	7000	92.27725839614868	3->5->6->9->10->4->7->8->1->2->11->0
13	309280	978911	7000	84.99828958511353	4->3->1->8->7->10->6->5->9->2->11->12->0
14	45171006	52206999	8000	7438.066140413284	10->9->6->8->7->5->2->1->4->13->12->11->0->3
9	1048	8985	3100	0.4757053852081299	4->2->6->7->8->1->5->0->3
10	14338	44445	5500	3.2969675064086914	4->3->1->7->8->6->9->5->2->0
11	51532	154217	5400	20.36527132987976	10->6->9->5->2->7->8->4->1->0->3
12	479892	981109	7000	89.97010731697083	3->5->6->9->10->4->7->8->1->2->11->0
9	1048	8985	3100	1.3212146759033203	4->2->6->7->8->1->5->0->3
10	14338	44445	5500	3.329953670501709	4->3->1->7->8->6->9->5->2->0
13	309280	978911	7000	87.93103575706482	4->3->1->8->7->10->6->5->9->2->11->12->0
14	45171006	52206999	8000	7431.037202596664	10->9->6->8->7->5->2->1->4->13->12->11->0->3
15	78688031	54086870	4200	16462.3424949646	14->12->13->11->0->3->1->4->2->7->8->6->5->9->10
9	1137	8502	3100	0.31588077545166016	3->0->5->1->8->7->6->2->4
10	12586	37449	5500	2.156801462173462	0->2->9->5->6->7->8->1->3->4
11	75771	164196	5400	12.782165765762329	10->6->9->5->2->7->8->4->1->0->3
12	376942	823257	7000	58.819018602371216	3->9->6->5->10->4->7->8->1->2->11->0
13	1590552	2352715	7500	236.1571843624115	12->0->11->2->9->5->6->10->8->7->1->3->4
9	1137	8502	3100	0.34935975074768066	3->0->5->1->8->7->6->2->4
10	12586	37449	5500	2.265796422958374	0->2->9->5->6->7->8->1->3->4
9	1137	8502	3100	0.38684606552124023	3->0->5->1->8->7->6->2->4
9	1137	8502	3100	0.2986631393432617	3->0->5->1->8->7->6->2->4
10	12586	37449	5500	2.145033597946167	0->2->9->5->6->7->8->1->3->4
11	75771	164196	5400	12.59082841873169	10->6->9->5->2->7->8->4->1->0->3
12	376942	823257	7000	59.7475266456604	3->9->6->5->10->4->7->8->1->2->11->0
13	1590552	2352715	7500	234.52095651626587	12->0->11->2->9->5->6->10->8->7->1->3->4
9	1207	9164	3100	0.3437380790710449	4->2->6->7->8->1->5->0->3
10	14717	40664	5500	2.411792516708374	4->3->1->8->7->6->9->5->2->0
9	1207	9164	3100	0.34328317642211914	4->2->6->7->8->1->5->0->3
10	14717	40664	5500	2.422621726989746	4->3->1->8->7->6->9->5->2->0
11	55033	155438	5400	9.79207730293274	3->0->1->4->7->8->2->5->6->9->10
12	403233	778910	7000	58.63858246803284	3->6->5->9->10->4->7->8->1->2->11->0
13	1040491	1946792	7500	165.14598751068115	0->12->11->2->9->5->10->6->7->8->1->4->3
9	1207	9164	3100	0.35936403274536133	4->2->6->7->8->1->5->0->3
10	14717	40664	5500	2.702876091003418	4->3->1->8->7->6->9->5->2->0
9	1207	9164	3100	0.37653326988220215	4->2->6->7->8->1->5->0->3
10	14717	40664	5500	2.769530773162842	4->3->1->8->7->6->9->5->2->0
11	55033	155438	5400	10.722006559371948	3->0->1->4->7->8->2->5->6->9->10
12	403233	778910	7000	63.975287199020386	3->6->5->9->10->4->7->8->1->2->11->0
13	1040491	1946792	7500	180.06429481506348	0->12->11->2->9->5->10->6->7->8->1->4->3
9	1353	9238	3100	0.6890416145324707	3->0->5->1->8->7->6->2->4
10	9703	34750	5500	2.0052428245544434	0->2->5->9->6->8->7->1->3->4
9	1353	9238	3100	0.5317425727844238	3->0->5->1->8->7->6->2->4
10	9703	34750	5500	1.8627064228057861	0->2->5->9->6->8->7->1->3->4
11	76458	180855	5400	13.05297327041626	3->0->1->4->7->8->2->5->9->6->10
12	512265	959862	7000	74.00748777389526	3->6->5->9->10->4->7->8->1->2->11->0
13	849456	1799947	7000	139.66669011116028	0->12->11->2->9->5->10->6->7->8->1->3->4
9	1353	9238	3100	0.36125874519348145	3->0->5->1->8->7->6->2->4
10	8894	32349	5100	1.692619800567627	4->3->1->8->7->6->5->9->2->0
11	3322	45835	6400	1.6799728870391846	3->1->0->2->6->5->9->8->7->10->4
12	709479	512594	8900	72.84959816932678	3->0->11->2->8->6->5->9->1->7->10->4
9	1353	9238	3100	0.3515028953552246	3->0->5->1->8->7->6->2->4
10	8894	32349	5100	1.6223912239074707	4->3->1->8->7->6->5->9->2->0
11	3322	45835	6400	1.62422776222229	3->1->0->2->6->5->9->8->7->10->4
12	29777	89890	8300	4.9997992515563965	2->11->9->1->8->5->10->7->6->0->3->4
9	1353	9238	3100	0.3565642833709717	3->0->5->1->8->7->6->2->4
10	8894	32349	5100	1.6468713283538818	4->3->1->8->7->6->5->9->2->0
11	3322	45835	6400	1.624659776687622	3->1->0->2->6->5->9->8->7->10->4
12	29777	89890	8300	5.019662141799927	2->11->9->1->8->5->10->7->6->0->3->4
13	1100936	518811	8300	112.55795526504517	11->2->9->0->5->8->12->3->6->1->7->10->4
9	1353	9238	3100	0.3593635559082031	3->0->5->1->8->7->6->2->4
10	8894	32349	5100	1.6482138633728027	4->3->1->8->7->6->5->9->2->0
11	3322	45835	6400	1.619293451309204	3->1->0->2->6->5->9->8->7->10->4
12	29777	89890	8300	5.061055898666382	2->11->9->1->8->5->10->7->6->0->3->4
13	783850	585477	6900	83.219153881073	2->9->0->5->11->8->1->12->7->3->10->6->4
14	699043	426862	7100	70.6214370727539	4->12->0->5->2->10->9->13->7->11->8->1->3->6
